file,piece_id,row,column,source_x,source_y,source_width,source_height,output_width,output_height,scale,pixel_count
environment__wall__ruined_stone__piece_023__r03c05__1f__80x87.png,023,3,5,574,322,106,115,80,87,0.727273,9034
environment__wall__ruined_stone__piece_024__r03c06__1f__73x87.png,024,3,6,708,323,96,115,73,87,0.727273,8319
environment__wall__ruined_stone__piece_025__r03c07__1f__71x86.png,025,3,7,844,323,94,114,71,86,0.727273,8306
environment__wall__ruined_stone__piece_026__r03c08__1f__74x87.png,026,3,8,972,323,98,115,74,87,0.727273,8553
environment__wall__ruined_stone__piece_027__r03c09__1f__41x87.png,027,3,9,1119,322,52,116,41,87,0.727273,5658
environment__wall__ruined_stone__piece_028__r04c01__1f__40x87.png,028,4,1,80,466,51,115,40,87,0.727273,5459
environment__wall__ruined_stone__piece_029__r04c02__1f__39x87.png,029,4,2,210,467,49,115,39,87,0.727273,5267
environment__wall__ruined_stone__piece_030__r04c03__1f__39x87.png,030,4,3,339,467,49,115,39,87,0.727273,5178
environment__wall__ruined_stone__piece_031__r04c04__1f__38x87.png,031,4,4,464,467,48,115,38,87,0.727273,5279
environment__wall__ruined_stone__piece_032__r04c05__1f__38x87.png,032,4,5,599,467,48,115,38,87,0.727273,5276
environment__wall__ruined_stone__piece_033__r04c06__1f__39x87.png,033,4,6,728,467,50,115,39,87,0.727273,5356
environment__wall__ruined_stone__piece_034__r04c07__1f__57x86.png,034,4,7,857,466,75,114,57,86,0.727273,7003
environment__wall__ruined_stone__piece_035__r04c08__1f__52x50.png,035,4,8,988,467,68,65,52,50,0.727273,4351
environment__wall__ruined_stone__piece_036__r04c09__1f__47x51.png,036,4,9,1113,466,60,66,47,51,0.727273,3810
environment__wall__ruined_stone__piece_037__r05c01__1f__35x33.png,037,5,1,998,550,44,42,35,33,0.727273,1733
environment__wall__ruined_stone__piece_038__r05c02__1f__35x32.png,038,5,2,1121,550,44,40,35,32,0.727273,1706
environment__wall__ruined_stone__piece_039__r06c01__1f__62x49.png,039,6,1,57,604,81,63,62,49,0.727273,4918
environment__wall__ruined_stone__piece_040__r06c02__1f__76x48.png,040,6,2,173,605,100,62,76,48,0.727273,6010
environment__wall__ruined_stone__piece_041__r06c03__1f__86x49.png,041,6,3,303,604,114,63,86,49,0.727273,6796
environment__wall__ruined_stone__piece_042__r06c04__1f__82x48.png,042,6,4,448,605,109,62,82,48,0.727273,6433
environment__wall__ruined_stone__piece_043__r06c05__1f__76x48.png,043,6,5,581,605,101,62,76,48,0.727273,5971
environment__wall__ruined_stone__piece_044__r06c06__1f__72x48.png,044,6,6,711,605,95,62,72,48,0.727273,5632
environment__wall__ruined_stone__piece_045__r06c07__1f__84x47.png,045,6,7,839,607,111,60,84,47,0.727273,6451
environment__wall__ruined_stone__piece_046__r06c08__1f__39x45.png,046,6,8,993,611,49,58,39,45,0.727273,2708
environment__wall__ruined_stone__piece_047__r06c09__1f__48x41.png,047,6,9,1113,614,62,53,48,41,0.727273,3078
environment__wall__ruined_stone__piece_048__r07c01__1f__37x40.png,048,7,1,72,689,47,51,37,40,0.727273,2250
environment__wall__ruined_stone__piece_049__r07c02__1f__43x40.png,049,7,2,194,689,55,51,43,40,0.727273,2601
environment__wall__ruined_stone__piece_050__r07c03__1f__52x39.png,050,7,3,326,689,67,50,52,39,0.727273,3209
environment__wall__ruined_stone__piece_051__r07c04__1f__59x40.png,051,7,4,462,689,77,51,59,40,0.727273,3710
environment__wall__ruined_stone__piece_052__r07c05__1f__47x39.png,052,7,5,602,690,60,50,47,39,0.727273,2880
environment__wall__ruined_stone__piece_053__r07c06__1f__44x39.png,053,7,6,733,692,57,50,44,39,0.727273,2685
environment__wall__ruined_stone__piece_054__r07c07__1f__44x39.png,054,7,7,865,691,57,49,44,39,0.727273,2657
environment__wall__ruined_stone__piece_055__r07c08__1f__26x47.png,055,7,8,1006,685,32,60,26,47,0.727273,1851
environment__wall__ruined_stone__piece_056__r07c09__1f__26x47.png,056,7,9,1125,684,32,60,26,47,0.727273,1801
environment__wall__ruined_stone__piece_057__r08c01__1f__68x48.png,057,8,1,47,770,89,62,68,48,0.727273,5297
environment__wall__ruined_stone__piece_058__r08c02__1f__73x48.png,058,8,2,172,770,97,62,73,48,0.727273,5845
environment__wall__ruined_stone__piece_059__r08c03__1f__86x48.png,059,8,3,302,770,114,62,86,48,0.727273,6889
environment__wall__ruined_stone__piece_060__r08c04__1f__77x48.png,060,8,4,444,770,102,62,77,48,0.727273,6096
environment__wall__ruined_stone__piece_061__r08c05__1f__72x48.png,061,8,5,578,770,95,62,72,48,0.727273,5673
environment__wall__ruined_stone__piece_062__r08c06__1f__65x49.png,062,8,6,715,769,85,63,65,49,0.727273,5134
environment__wall__ruined_stone__piece_063__r08c07__1f__61x49.png,063,8,7,853,769,80,64,61,49,0.727273,4886
environment__wall__ruined_stone__piece_064__r08c08__1f__31x50.png,064,8,8,999,768,38,65,31,50,0.727273,2383
environment__wall__ruined_stone__piece_065__r08c09__1f__32x50.png,065,8,9,1119,768,40,65,32,50,0.727273,2421
environment__wall__ruined_stone__piece_066__r09c01__1f__26x49.png,066,9,1,77,852,32,63,26,49,0.727273,1869
environment__wall__ruined_stone__piece_067__r09c02__1f__26x49.png,067,9,2,202,852,32,63,26,49,0.727273,1883
environment__wall__ruined_stone__piece_068__r09c03__1f__28x48.png,068,9,3,333,854,35,62,28,48,0.727273,1997
environment__wall__ruined_stone__piece_069__r09c04__1f__35x47.png,069,9,4,463,856,44,61,35,47,0.727273,2507
environment__wall__ruined_stone__piece_070__r09c05__1f__43x47.png,070,9,5,594,857,55,60,43,47,0.727273,3233
environment__wall__ruined_stone__piece_071__r09c06__1f__55x48.png,071,9,6,719,856,71,62,55,48,0.727273,4193
environment__wall__ruined_stone__piece_072__r09c07__1f__59x49.png,072,9,7,854,859,77,63,59,49,0.727273,4564
environment__wall__ruined_stone__piece_073__r09c08__1f__55x49.png,073,9,8,980,859,71,64,55,49,0.727273,4327
environment__wall__ruined_stone__piece_074__r09c09__1f__52x48.png,074,9,9,1105,860,68,62,52,48,0.727273,4091
environment__wall__ruined_stone__piece_075__r10c01__1f__57x63.png,075,10,1,55,944,74,83,57,63,0.727273,5947
environment__wall__ruined_stone__piece_076__r10c02__1f__62x63.png,076,10,2,175,945,81,83,62,63,0.727273,6437
environment__wall__ruined_stone__piece_077__r10c03__1f__61x63.png,077,10,3,311,945,80,82,61,63,0.727273,6280
environment__wall__ruined_stone__piece_078__r10c04__1f__57x63.png,078,10,4,449,945,74,83,57,63,0.727273,5887
environment__wall__ruined_stone__piece_079__r10c05__1f__61x63.png,079,10,5,579,946,80,83,61,63,0.727273,6374
environment__wall__ruined_stone__piece_080__r10c06__1f__63x63.png,080,10,6,712,946,83,82,63,63,0.727273,6479
environment__wall__ruined_stone__piece_081__r10c07__1f__62x62.png,081,10,7,846,946,81,81,62,62,0.727273,6354
environment__wall__ruined_stone__piece_082__r10c08__1f__61x62.png,082,10,8,981,947,80,81,61,62,0.727273,6259
environment__wall__ruined_stone__piece_083__r10c09__1f__60x61.png,083,10,9,1103,947,78,80,60,61,0.727273,6049
environment__wall__ruined_stone__piece_084__r11c01__1f__63x66.png,084,11,1,49,1058,82,87,63,66,0.727273,6958
environment__wall__ruined_stone__piece_085__r11c02__1f__67x67.png,085,11,2,175,1058,88,88,67,67,0.727273,7471
environment__wall__ruined_stone__piece_086__r11c03__1f__67x67.png,086,11,3,304,1058,88,88,67,67,0.727273,7399
environment__wall__ruined_stone__piece_087__r11c04__1f__65x67.png,087,11,4,444,1058,86,88,65,67,0.727273,7287
environment__wall__ruined_stone__piece_088__r11c05__1f__64x66.png,088,11,5,580,1058,84,87,64,66,0.727273,7126
environment__wall__ruined_stone__piece_089__r11c06__1f__64x67.png,089,11,6,711,1058,84,88,64,67,0.727273,7237
environment__wall__ruined_stone__piece_090__r11c07__1f__66x67.png,090,11,7,844,1058,87,88,66,67,0.727273,7267
environment__wall__ruined_stone__piece_091__r11c08__1f__64x67.png,091,11,8,978,1058,84,88,64,67,0.727273,7110
environment__wall__ruined_stone__piece_092__r11c09__1f__65x67.png,092,11,9,1106,1058,85,88,65,67,0.727273,7197
