level,placement_id,source_id,semantic_name,semantic_family,runtime_family,variant_key,cell_x,cell_y,offset_x,offset_y,world_x,world_y,native_w,native_h,anchor_mode,collision_profile,role
lower_quarter,arcade_amber,26,amber_caged_a,amber_lamppost,meridian_civic_lighting,amber_caged_a,44,72,0,0,-624,784,27,65,floor_contact,authored_solid_post_12,physical_prop
lower_quarter,arcade_cabinet,49,cabinet_tall_closed,utility_cabinet,meridian_civic_utility,cabinet_tall_closed,34,70,0,0,-944,720,49,68,floor_contact,authored_solid_rect,physical_prop
lower_quarter,arcade_pedestal,57,pedestal_narrow,utility_pedestal,meridian_civic_utility,pedestal_narrow,43,67,0,0,-656,624,29,76,floor_contact,authored_solid_small_rect,physical_prop
lower_quarter,arcade_junction,58,junction_box_square_a,junction_box,meridian_civic_utility,junction_box_square_a,34,58,0,0,-944,336,53,57,floor_contact,optional_small_rect,physical_prop
lower_quarter,arcade_camera,61,camera_dual_lens,security_camera,meridian_civic_security,camera_dual_lens,32,70,0,-12,-1008,708,54,62,wall_mount,none,wall_mounted_prop
lower_quarter,arcade_chain_barrier,71,chain_barrier_amber,chain_barrier,meridian_civic_traffic_control,chain_barrier_amber,39,75,0,0,-784,880,131,62,floor_contact,authored_solid_line,physical_prop
lower_quarter,arcade_work_light,87,tripod_work_light_tall,tripod_work_light,meridian_civic_worksite,tripod_work_light_tall,43,55,0,0,-656,240,54,152,floor_contact,optional_post,physical_prop
lower_quarter,arcade_hatch,95,service_plate_plain_b,access_hatch,meridian_civic_floor_hardware,service_plate_plain_b,38,66,0,0,-816,592,64,57,floor_center,none,floor_overlay
lower_quarter,arcade_drain,89,rect_grate_large,drain_grate,meridian_civic_floor_hardware,rect_grate_large,39,56,0,0,-784,272,75,58,floor_center,none,floor_overlay
lower_quarter,arcade_waste,192,waste_receptacle_tall,waste_receptacle,meridian_civic_waste,waste_receptacle_tall,34,62,0,0,-944,464,38,66,floor_contact,optional_small_rect,physical_prop
lower_quarter,arcade_crate,185,crate_blue_strapped,cargo_crate,meridian_civic_crate,crate_blue_strapped,43,50,0,0,-656,80,69,70,floor_contact,authored_solid_rect,physical_prop
lower_quarter,market_lamp_w,19,lantern_hooded,civic_lamppost,meridian_civic_lighting,lantern_hooded,20,37,0,0,-1392,-336,25,78,floor_contact,authored_solid_post_12,physical_prop
lower_quarter,market_lamp_e,23,lantern_slim,civic_lamppost,meridian_civic_lighting,lantern_slim,57,37,0,0,-208,-336,23,72,floor_contact,authored_solid_post_12,physical_prop
lower_quarter,market_bench_a,66,bench_wood_medium,bench,meridian_civic_bench,bench_wood_medium,26,40,0,0,-1200,-240,110,59,floor_contact,authored_solid_rect,physical_prop
lower_quarter,market_bench_b,68,bench_metal_low,bench,meridian_civic_bench,bench_metal_low,48,49,0,0,-496,48,129,47,floor_contact,authored_solid_rect,physical_prop
lower_quarter,market_planter_long,168,planter_long,planter,meridian_civic_planter,planter_long,31,36,0,0,-1040,-368,132,65,floor_contact,authored_solid_rect,physical_prop
lower_quarter,market_planter_tall,169,planter_square_tall,planter,meridian_civic_planter,planter_square_tall,47,36,0,0,-528,-368,65,82,floor_contact,authored_solid_rect,physical_prop
lower_quarter,market_planter_low,175,planter_low_long,planter,meridian_civic_planter,planter_low_long,41,51,0,0,-720,112,77,62,floor_contact,authored_solid_rect,physical_prop
lower_quarter,market_bin,70,waste_bin_square,waste_bin,meridian_civic_waste,waste_bin_square,35,40,0,0,-912,-240,41,65,floor_contact,optional_small_rect,physical_prop
lower_quarter,market_sign,33,horizontal_offset_frame,sign_frame,meridian_civic_signage,horizontal_offset_frame,18,41,0,0,-1456,-208,57,65,floor_contact,optional_post,physical_prop
lower_quarter,market_crate_a,186,crate_gray_large,cargo_crate,meridian_civic_crate,crate_gray_large,20,46,0,0,-1392,-48,77,68,floor_contact,authored_solid_rect,physical_prop
lower_quarter,market_crate_b,187,crate_gray_latched,cargo_crate,meridian_civic_crate,crate_gray_latched,23,46,0,0,-1296,-48,70,62,floor_contact,authored_solid_rect,physical_prop
lower_quarter,market_crate_c,190,crate_wood_metal,cargo_crate,meridian_civic_crate,crate_wood_metal,26,46,0,0,-1200,-48,74,62,floor_contact,authored_solid_rect,physical_prop
lower_quarter,market_barrels,193,barrels_yellow_pair,barrel_pair,meridian_civic_container,barrels_yellow_pair,52,47,0,0,-368,-16,59,62,floor_contact,optional_small_rect,physical_prop
lower_quarter,market_barrel,194,barrel_gray,barrel,meridian_civic_container,barrel_gray,55,47,0,0,-272,-16,33,54,floor_contact,optional_small_rect,physical_prop
lower_quarter,market_canisters,195,canisters_dark_pair,canister_pair,meridian_civic_container,canisters_dark_pair,58,47,0,0,-176,-16,35,66,floor_contact,optional_small_rect,physical_prop
lower_quarter,market_hazard_canister,196,canister_hazard_orange,hazard_canister,meridian_civic_container,canister_hazard_orange,53,50,0,0,-336,80,24,57,floor_contact,optional_small_rect,physical_prop
lower_quarter,market_gas,197,gas_cylinder_tall,gas_cylinder,meridian_civic_container,gas_cylinder_tall,56,50,0,0,-240,80,28,71,floor_contact,optional_small_rect,physical_prop
lower_quarter,market_long_crate,202,cargo_crate_long,long_cargo_crate,meridian_civic_crate,cargo_crate_long,33,49,0,0,-976,48,88,57,floor_contact,authored_solid_rect,physical_prop
lower_quarter,market_rubble_a,179,wreckage_rubble,rubble,meridian_civic_debris,wreckage_rubble,53,35,0,0,-336,-400,61,61,floor_contact,optional_authored_solid,debris
lower_quarter,market_rubble_b,180,strapped_rubble,rubble,meridian_civic_debris,strapped_rubble,56,35,0,0,-240,-400,69,71,floor_contact,optional_authored_solid,debris
lower_quarter,basin_main_fountain,155,octagonal_jet_fountain,fountain_basin,meridian_civic_basin,octagonal_jet_fountain,68,43,0,0,144,-144,73,76,floor_center,authored_solid_footprint,physical_prop
lower_quarter,basin_planter_nw,161,planter_rect_small_a,planter,meridian_civic_planter,planter_rect_small_a,58,37,0,0,-176,-336,84,75,floor_contact,authored_solid_rect,physical_prop
lower_quarter,basin_planter_ne,162,planter_rect_medium_a,planter,meridian_civic_planter,planter_rect_medium_a,77,37,0,0,432,-336,86,75,floor_contact,authored_solid_rect,physical_prop
lower_quarter,basin_planter_sw,163,planter_corner_small,planter,meridian_civic_planter,planter_corner_small,58,48,0,0,-176,16,65,69,floor_contact,authored_solid_rect,physical_prop
lower_quarter,basin_planter_se,170,planter_corner_large,planter,meridian_civic_planter,planter_corner_large,77,48,0,0,432,16,81,77,floor_contact,authored_solid_rect,physical_prop
lower_quarter,basin_multi_lamp_w,21,double_head,multihead_lamppost,meridian_civic_lighting,double_head,58,43,0,0,-176,-144,48,64,floor_contact,authored_solid_post_14,physical_prop
lower_quarter,basin_multi_lamp_e,22,triple_head,multihead_lamppost,meridian_civic_lighting,triple_head,78,43,0,0,464,-144,55,66,floor_contact,authored_solid_post_14,physical_prop
lower_quarter,basin_curved_rail,11,curved_railing_section,curved_railing,meridian_civic_structure,curved_railing_section,66,37,0,0,80,-336,65,67,floor_contact,authored_solid_line,architectural_module
lower_quarter,basin_ornate_rail,9,stone_railing_wide,ornamental_railing,meridian_civic_structure,stone_railing_wide,70,37,0,0,208,-336,63,66,floor_contact,authored_solid_line,architectural_module
lower_quarter,basin_drain_a,90,rect_grate_medium,drain_grate,meridian_civic_floor_hardware,rect_grate_medium,64,40,0,0,16,-240,60,54,floor_center,none,floor_overlay
lower_quarter,basin_drain_b,93,slotted_drain_square,drain_grate,meridian_civic_floor_hardware,slotted_drain_square,72,40,0,0,272,-240,67,63,floor_center,none,floor_overlay
lower_quarter,basin_hatch_a,96,service_plate_large_a,access_hatch,meridian_civic_floor_hardware,service_plate_large_a,64,47,0,0,16,-16,75,65,floor_center,none,floor_overlay
lower_quarter,basin_hatch_b,97,service_plate_large_b,access_hatch,meridian_civic_floor_hardware,service_plate_large_b,72,47,0,0,272,-16,75,64,floor_center,none,floor_overlay
lower_quarter,basin_service_kiosk,46,service_kiosk,information_terminal,meridian_civic_terminal,service_kiosk,57,42,0,0,-208,-176,58,74,floor_contact,authored_solid_small_rect,physical_prop
lower_quarter,basin_bin,69,waste_bin_round,waste_bin,meridian_civic_waste,waste_bin_round,78,46,0,0,464,-48,36,57,floor_contact,optional_small_rect,physical_prop
lower_quarter,wrong_sign,39,angled_frame,sign_frame,meridian_civic_signage,angled_frame,79,33,0,0,496,-464,63,67,floor_contact,optional_post,physical_prop
lower_quarter,wrong_junction,59,junction_box_square_b,junction_box,meridian_civic_utility,junction_box_square_b,82,37,0,0,592,-336,48,65,floor_contact,optional_small_rect,physical_prop
lower_quarter,wrong_cabinet,55,cabinet_tall_b,utility_cabinet,meridian_civic_utility,cabinet_tall_b,80,45,0,0,528,-80,47,68,floor_contact,authored_solid_rect,physical_prop
lower_quarter,wrong_camera,63,camera_angled,security_camera,meridian_civic_security,camera_angled,84,35,0,-12,656,-412,54,78,wall_mount,none,wall_mounted_prop
lower_quarter,wrong_bollard,72,bollard_tall_dark,bollard,meridian_civic_traffic_control,bollard_tall_dark,84,44,0,0,656,-112,26,66,floor_contact,authored_solid_post_10,physical_prop
lower_quarter,court_banner_w,40,blank_hanging_standard,banner_standard,meridian_civic_signage,blank_hanging_standard,58,10,0,0,-176,-1200,50,84,floor_contact,optional_post,physical_prop
lower_quarter,court_banner_e,41,diamond_banner_dark,banner_standard,meridian_civic_signage,diamond_banner_dark,85,10,0,0,688,-1200,62,82,floor_contact,optional_post,physical_prop
lower_quarter,court_sign,38,horizontal_full_frame,sign_frame,meridian_civic_signage,horizontal_full_frame,71,27,0,0,240,-656,54,75,floor_contact,optional_post,physical_prop
lower_quarter,court_bench_w,67,bench_metal_long,bench,meridian_civic_bench,bench_metal_long,61,26,0,0,-80,-688,137,65,floor_contact,authored_solid_rect,physical_prop
lower_quarter,court_bench_e,68,bench_metal_low,bench,meridian_civic_bench,bench_metal_low,81,26,0,0,560,-688,129,47,floor_contact,authored_solid_rect,physical_prop
lower_quarter,court_rail_w,7,stone_railing_short,ornamental_railing,meridian_civic_structure,stone_railing_short,58,28,0,0,-176,-624,65,63,floor_contact,authored_solid_line,architectural_module
lower_quarter,court_rail_e,10,ornate_railing_wide,ornamental_railing,meridian_civic_structure,ornate_railing_wide,84,28,0,0,656,-624,64,68,floor_contact,authored_solid_line,architectural_module
lower_quarter,court_terminal,45,directory_board,information_terminal,meridian_civic_terminal,directory_board,71,12,0,0,240,-1136,58,76,floor_contact,authored_solid_small_rect,physical_prop
lower_quarter,court_lamp_w,17,lantern_standard_a,civic_lamppost,meridian_civic_lighting,lantern_standard_a,58,24,0,0,-176,-752,25,79,floor_contact,authored_solid_post_12,physical_prop
lower_quarter,court_lamp_e,19,lantern_hooded,civic_lamppost,meridian_civic_lighting,lantern_hooded,85,24,0,0,688,-752,25,78,floor_contact,authored_solid_post_12,physical_prop
lower_quarter,court_plate_w,123,floor_plate_hazard_ring,floor_plate,meridian_civic_floor_hardware,floor_plate_hazard_ring,63,18,0,0,-16,-944,70,66,floor_center,none,floor_overlay
lower_quarter,court_plate_e,137,circular_port_plate,floor_plate,meridian_civic_floor_hardware,circular_port_plate,79,18,0,0,496,-944,63,59,floor_center,none,floor_overlay
lower_quarter,north_stair_left,6,stair_transition_left,stair_retaining_transition,meridian_civic_structure,stair_transition_left,86,24,0,0,720,-752,65,66,floor_contact,authored_topology_required,architectural_module
lower_quarter,north_stair_right,8,stair_transition_right,stair_retaining_transition,meridian_civic_structure,stair_transition_right,94,24,0,0,976,-752,62,67,floor_contact,authored_topology_required,architectural_module
lower_quarter,north_pier_w,13,braced_pier,structural_pier,meridian_civic_structure,braced_pier,84,17,0,0,656,-976,53,75,floor_contact,authored_solid_small_rect,architectural_module
lower_quarter,north_pier_e,5,square_pier_tall,structural_pier,meridian_civic_structure,square_pier_tall,95,17,0,0,1008,-976,32,66,floor_contact,authored_solid_small_rect,architectural_module
lower_quarter,switch_lamp_1,28,amber_slim,amber_lamppost,meridian_civic_lighting,amber_slim,100,24,0,0,1168,-752,23,71,floor_contact,authored_solid_post_12,physical_prop
lower_quarter,switch_lamp_2,29,amber_caged_c,amber_lamppost,meridian_civic_lighting,amber_caged_c,100,36,0,0,1168,-368,27,61,floor_contact,authored_solid_post_12,physical_prop
lower_quarter,switch_lamp_3,30,amber_beacon_compact_a,amber_lamppost,meridian_civic_lighting,amber_beacon_compact_a,100,48,0,0,1168,16,26,55,floor_contact,authored_solid_post_12,physical_prop
lower_quarter,switch_lamp_4,31,amber_beacon_compact_b,amber_lamppost,meridian_civic_lighting,amber_beacon_compact_b,100,60,0,0,1168,400,26,54,floor_contact,authored_solid_post_12,physical_prop
lower_quarter,station_approach_sign,34,vertical_offset_frame,sign_frame,meridian_civic_signage,vertical_offset_frame,92,61,0,0,912,432,49,68,floor_contact,optional_post,physical_prop
lower_quarter,station_approach_box,51,panel_compact_a,utility_cabinet,meridian_civic_utility,panel_compact_a,96,61,0,0,1040,432,47,55,floor_contact,authored_solid_rect,physical_prop
lower_quarter,station_approach_camera,62,camera_wall_large,security_camera,meridian_civic_security,camera_wall_large,73,60,0,-12,304,388,51,85,wall_mount,none,wall_mounted_prop
lower_quarter,west_branch_sign,35,low_horizontal_frame,sign_frame,meridian_civic_signage,low_horizontal_frame,15,42,0,0,-1552,-176,63,66,floor_contact,optional_post,physical_prop
lower_quarter,west_branch_lamp,32,amber_heavy_column,amber_lamppost,meridian_civic_lighting,amber_heavy_column,17,42,0,0,-1488,-176,32,72,floor_contact,authored_solid_post_12,physical_prop
lower_quarter,west_branch_bollard,77,bollard_amber_band,bollard,meridian_civic_traffic_control,bollard_amber_band,13,42,0,0,-1616,-176,27,69,floor_contact,authored_solid_post_10,physical_prop
west_gate_works,entry_lamp_w,28,amber_slim,amber_lamppost,meridian_civic_lighting,amber_slim,52,26,0,0,656,80,23,71,floor_contact,authored_solid_post_12,physical_prop
west_gate_works,entry_lamp_e,29,amber_caged_c,amber_lamppost,meridian_civic_lighting,amber_caged_c,58,26,0,0,848,80,27,61,floor_contact,authored_solid_post_12,physical_prop
west_gate_works,entry_sign,33,horizontal_offset_frame,sign_frame,meridian_civic_signage,horizontal_offset_frame,50,21,0,0,592,-80,57,65,floor_contact,optional_post,physical_prop
west_gate_works,entry_bollard_w,77,bollard_amber_band,bollard,meridian_civic_traffic_control,bollard_amber_band,49,25,0,0,560,48,27,69,floor_contact,authored_solid_post_10,physical_prop
west_gate_works,entry_bollard_e,82,bollard_slim,bollard,meridian_civic_traffic_control,bollard_slim,59,25,0,0,880,48,20,59,floor_contact,authored_solid_post_10,physical_prop
west_gate_works,entry_grate,91,slotted_grate_large,drain_grate,meridian_civic_floor_hardware,slotted_grate_large,54,24,0,0,720,16,70,62,floor_center,none,floor_overlay
west_gate_works,entry_sawhorse,85,sawhorse_small,sawhorse_barricade,meridian_civic_traffic_control,sawhorse_small,50,28,0,0,592,144,47,63,floor_contact,optional_line,physical_prop
west_gate_works,control_cabinet_a,49,cabinet_tall_closed,utility_cabinet,meridian_civic_utility,cabinet_tall_closed,35,18,0,0,112,-176,49,68,floor_contact,authored_solid_rect,physical_prop
west_gate_works,control_cabinet_b,50,cabinet_tall_lit,utility_cabinet,meridian_civic_utility,cabinet_tall_lit,38,18,0,0,208,-176,53,71,floor_contact,authored_solid_rect,physical_prop
west_gate_works,control_cabinet_c,52,panel_compact_b,utility_cabinet,meridian_civic_utility,panel_compact_b,41,18,0,0,304,-176,47,67,floor_contact,authored_solid_rect,physical_prop
west_gate_works,control_cabinet_d,54,cabinet_terminal_tall,utility_cabinet,meridian_civic_utility,cabinet_terminal_tall,44,18,0,0,400,-176,51,74,floor_contact,authored_solid_rect,physical_prop
west_gate_works,control_multiport,56,box_multiport,utility_cabinet,meridian_civic_utility,box_multiport,47,18,0,0,496,-176,59,75,floor_contact,authored_solid_rect,physical_prop
west_gate_works,control_callbox,47,callbox_pillar,information_terminal,meridian_civic_terminal,callbox_pillar,48,23,0,0,528,-16,37,73,floor_contact,authored_solid_small_rect,physical_prop
west_gate_works,control_camera,64,camera_compact,security_camera,meridian_civic_security,camera_compact,35,16,0,-12,112,-252,40,51,wall_mount,none,wall_mounted_prop
west_gate_works,control_work_light,87,tripod_work_light_tall,tripod_work_light,meridian_civic_worksite,tripod_work_light_tall,36,29,0,0,144,176,54,152,floor_contact,optional_post,physical_prop
west_gate_works,control_bin,69,waste_bin_round,waste_bin,meridian_civic_waste,waste_bin_round,47,29,0,0,496,176,36,57,floor_contact,optional_small_rect,physical_prop
west_gate_works,pit_rack_a,102,rack_low_a,industrial_rack,meridian_civic_industrial_module,rack_low_a,21,14,0,0,-336,-304,70,57,floor_contact,authored_solid_rect,architectural_module
west_gate_works,pit_rack_b,103,rack_low_b,industrial_rack,meridian_civic_industrial_module,rack_low_b,24,14,0,0,-240,-304,65,60,floor_contact,authored_solid_rect,architectural_module
west_gate_works,pit_rack_c,104,rack_low_c,industrial_rack,meridian_civic_industrial_module,rack_low_c,27,14,0,0,-144,-304,63,60,floor_contact,authored_solid_rect,architectural_module
west_gate_works,pit_rack_strapped,106,rack_strapped,industrial_rack,meridian_civic_industrial_module,rack_strapped,30,14,0,0,-48,-304,78,58,floor_contact,authored_solid_rect,architectural_module
west_gate_works,pit_rack_d,107,rack_low_d,industrial_rack,meridian_civic_industrial_module,rack_low_d,33,14,0,0,48,-304,71,57,floor_contact,authored_solid_rect,architectural_module
west_gate_works,pit_cable_rack,108,rack_cable_bundle,industrial_rack,meridian_civic_industrial_module,rack_cable_bundle,21,18,0,0,-336,-176,81,62,floor_contact,authored_solid_rect,architectural_module
west_gate_works,pit_ladder_rack,115,ladder_rack_vertical,ladder_rack_module,meridian_civic_industrial_module,ladder_rack_vertical,20,23,0,0,-368,-16,86,144,floor_contact,authored_topology_required,architectural_module
west_gate_works,pit_low_guard,113,low_guard_hazard,low_barrier_module,meridian_civic_industrial_module,low_guard_hazard,22,32,0,0,-304,272,77,50,floor_contact,authored_solid_line,architectural_module
west_gate_works,pit_low_guard_double,114,low_guard_double,low_barrier_module,meridian_civic_industrial_module,low_guard_double,27,32,0,0,-144,272,121,51,floor_contact,authored_solid_line,architectural_module
west_gate_works,pit_masonry_transition,112,masonry_transition_block,masonry_transition,meridian_civic_industrial_module,masonry_transition_block,34,13,0,0,80,-336,51,61,floor_contact,authored_topology_required,architectural_module
west_gate_works,pit_retaining_corner,149,retaining_corner_large,retaining_corner_module,meridian_civic_industrial_module,retaining_corner_large,34,17,0,0,80,-208,84,79,floor_contact,authored_solid_rect,architectural_module
west_gate_works,pit_vent,150,vent_intake_housing,vent_housing,meridian_civic_industrial_module,vent_intake_housing,22,28,0,0,-304,144,84,73,floor_contact,authored_solid_rect,architectural_module
west_gate_works,pit_fan,151,fan_grille_housing,fan_housing,meridian_civic_floor_hardware,fan_grille_housing,26,28,0,0,-176,144,86,66,floor_center,optional_rect,floor_overlay
west_gate_works,pit_shaft,152,open_square_shaft,recessed_shaft,meridian_civic_floor_hardware,open_square_shaft,30,28,0,0,-48,144,82,77,floor_center,authored_topology_required,floor_overlay
west_gate_works,pit_ladder_access,153,ladder_access,ladder_access,meridian_civic_floor_hardware,ladder_access,34,28,0,0,80,144,58,76,floor_center,authored_topology_required,floor_overlay
west_gate_works,pit_plate_a,105,floor_plate_plain_large,floor_plate,meridian_civic_floor_hardware,floor_plate_plain_large,24,24,0,0,-240,16,60,59,floor_center,none,floor_overlay
west_gate_works,pit_plate_b,109,floor_plate_plain_b,floor_plate,meridian_civic_floor_hardware,floor_plate_plain_b,28,24,0,0,-112,16,62,60,floor_center,none,floor_overlay
west_gate_works,pit_plate_c,110,floor_plate_plain_c,floor_plate,meridian_civic_floor_hardware,floor_plate_plain_c,32,24,0,0,16,16,62,59,floor_center,none,floor_overlay
west_gate_works,pit_curve,111,service_channel_curve_a,curved_service_channel,meridian_civic_floor_hardware,service_channel_curve_a,29,26,0,0,-80,80,60,57,floor_center,none,floor_overlay
west_gate_works,pit_bumper_a,141,hazard_bumper_tall_a,hazard_bumper,meridian_civic_industrial_module,hazard_bumper_tall_a,21,30,0,0,-336,208,36,81,floor_contact,authored_solid_post_10,physical_prop
west_gate_works,pit_bumper_b,142,hazard_bumper_tall_b,hazard_bumper,meridian_civic_industrial_module,hazard_bumper_tall_b,34,30,0,0,80,208,30,72,floor_contact,authored_solid_post_10,physical_prop
west_gate_works,motor_wall_a,116,wall_rack_large_a,industrial_wall_module,meridian_civic_industrial_module,wall_rack_large_a,9,18,0,0,-720,-176,74,67,floor_contact,authored_solid_rect,architectural_module
west_gate_works,motor_wall_b,117,wall_rack_large_b,industrial_wall_module,meridian_civic_industrial_module,wall_rack_large_b,9,21,0,0,-720,-80,71,59,floor_contact,authored_solid_rect,architectural_module
west_gate_works,motor_wall_braced,118,wall_rack_braced,industrial_wall_module,meridian_civic_industrial_module,wall_rack_braced,9,27,0,0,-720,112,100,76,floor_contact,authored_solid_rect,architectural_module
west_gate_works,motor_wall_long_a,119,wall_rack_long_a,industrial_wall_module,meridian_civic_industrial_module,wall_rack_long_a,18,18,0,0,-432,-176,80,62,floor_contact,authored_solid_rect,architectural_module
