id,filename,raw_component_id,area,x0,y0,x1,y1,native_width,native_height,crop_width,crop_height,anchor_x,anchor_y,size_class,occupancy
62,sprite_062__native_83x197__crop_89x203.png,380,13416,918,867,1001,1064,83,197,89,203,64.0,200.0,tall_prop,0.8205
63,sprite_063__native_66x196__crop_72x202.png,381,6746,1004,867,1070,1063,66,196,72,202,45.0,199.0,tall_prop,0.52149
64,sprite_064__native_131x138__crop_137x144.png,400,11575,14,924,145,1062,131,138,137,144,39.0,141.0,large_prop,0.640281
65,sprite_065__native_102x129__crop_108x135.png,408,9158,295,943,397,1072,102,129,108,135,55.0,132.0,large_prop,0.696002
66,sprite_066__native_66x123__crop_72x129.png,409,6454,514,944,580,1067,66,123,72,129,35.5,126.0,tall_prop,0.795023
67,sprite_067__native_75x183__crop_81x189.png,391,6692,1081,892,1156,1075,75,183,81,189,37.0,186.0,tall_prop,0.487577
68,sprite_068__native_125x142__crop_131x148.png,405,12314,154,938,279,1080,125,142,131,148,54.0,145.0,large_prop,0.693746
69,sprite_069__native_79x115__crop_85x121.png,416,7164,407,957,486,1072,79,115,85,121,49.0,118.0,tall_prop,0.788553
70,sprite_070__native_198x118__crop_204x124.png,417,15289,586,958,784,1076,198,118,204,124,77.0,121.0,large_prop,0.654383
71,sprite_071__native_39x91__crop_45x97.png,430,2462,828,987,867,1078,39,91,45,97,22.0,94.0,tall_prop,0.693717
72,sprite_072__native_160x115__crop_166x121.png,424,9634,1155,967,1315,1082,160,115,166,121,129.0,118.0,large_prop,0.523587
73,sprite_073__native_32x24__crop_38x30.png,443,542,785,1047,817,1071,32,24,38,30,21.0,27.0,tile_scale,0.705729
