id,filename,raw_component_id,area,x0,y0,x1,y1,native_width,native_height,crop_width,crop_height,anchor_x,anchor_y,size_class,occupancy
43,sprite_043__native_63x98__crop_69x104.png,58,4199,792,154,855,252,63,98,69,104,11.0,101.0,tall_prop,0.68011
44,sprite_044__native_52x100__crop_58x106.png,59,3651,868,158,920,258,52,100,58,106,10.0,103.0,tall_prop,0.702115
45,sprite_045__native_58x76__crop_64x82.png,66,3817,951,163,1009,239,58,76,64,82,16.0,79.0,medium_prop,0.865926
46,sprite_046__native_58x74__crop_64x80.png,67,3221,1030,163,1088,237,58,74,64,80,22.0,77.0,medium_prop,0.750466
47,sprite_047__native_37x73__crop_43x79.png,68,2306,1112,163,1149,236,37,73,43,79,33.0,76.0,tall_prop,0.853758
48,sprite_048__native_52x74__crop_58x80.png,71,2562,1180,167,1232,241,52,74,58,80,10.0,77.0,tall_prop,0.6658
49,sprite_049__native_49x68__crop_55x74.png,99,3188,15,248,64,316,49,68,55,74,26.0,71.0,tall_prop,0.956783
50,sprite_050__native_53x71__crop_59x77.png,94,3255,93,243,146,314,53,71,59,77,30.0,74.0,medium_prop,0.865001
51,sprite_051__native_47x55__crop_53x61.png,108,2515,173,257,220,312,47,55,53,61,25.0,58.0,small_prop,0.972921
52,sprite_052__native_47x67__crop_53x73.png,102,2752,251,249,298,316,47,67,53,73,26.0,70.0,tall_prop,0.873928
53,sprite_053__native_48x62__crop_54x68.png,105,2428,333,253,381,315,48,62,54,68,25.0,65.0,medium_prop,0.81586
54,sprite_054__native_51x74__crop_57x80.png,100,3127,409,248,460,322,51,74,57,80,26.0,77.0,tall_prop,0.828564
55,sprite_055__native_47x68__crop_53x74.png,101,2702,485,248,532,316,47,68,53,74,23.0,71.0,tall_prop,0.845432
56,sprite_056__native_59x75__crop_65x81.png,103,3634,556,249,615,324,59,75,65,81,31.0,78.0,medium_prop,0.821243
57,sprite_057__native_29x76__crop_35x82.png,104,1525,649,249,678,325,29,76,35,82,19.5,79.0,tall_prop,0.691924
58,sprite_058__native_53x57__crop_59x63.png,109,2481,717,258,770,315,53,57,59,63,22.0,60.0,medium_prop,0.821251
59,sprite_059__native_48x65__crop_54x71.png,107,1839,797,255,845,320,48,65,54,71,13.0,68.0,tall_prop,0.589423
60,sprite_060__native_57x49__crop_63x55.png,113,1851,873,265,930,314,57,49,63,55,53.0,52.0,medium_prop,0.662728
61,sprite_061__native_54x62__crop_60x68.png,106,1746,952,254,1006,316,54,62,60,68,45.0,65.0,medium_prop,0.521505
62,sprite_062__native_51x85__crop_57x91.png,95,2327,1033,243,1084,328,51,85,57,91,41.0,88.0,tall_prop,0.536794
63,sprite_063__native_54x78__crop_60x84.png,96,2257,1108,246,1162,324,54,78,60,84,38.0,81.0,tall_prop,0.53585
64,sprite_064__native_40x51__crop_46x57.png,110,1401,1191,258,1231,309,40,51,46,57,31.0,54.0,small_prop,0.686765
65,sprite_065__native_86x59__crop_92x65.png,124,4347,15,330,101,389,86,59,92,65,19.5,62.0,medium_prop,0.856721
66,sprite_066__native_110x59__crop_116x65.png,125,5211,120,330,230,389,110,59,116,65,23.0,62.0,large_prop,0.802928
67,sprite_067__native_137x65__crop_143x71.png,122,6820,245,328,382,393,137,65,143,71,24.0,68.0,large_prop,0.765862
68,sprite_068__native_129x47__crop_135x53.png,130,4710,404,342,533,389,129,47,135,53,20.0,50.0,large_prop,0.776843
69,sprite_069__native_36x57__crop_42x63.png,128,1821,562,333,598,390,36,57,42,63,20.5,60.0,medium_prop,0.887427
70,sprite_070__native_41x65__crop_47x71.png,127,2486,635,331,676,396,41,65,47,71,23.0,68.0,tall_prop,0.932833
71,sprite_071__native_131x62__crop_137x68.png,129,3516,1028,334,1159,396,131,62,137,68,26.0,65.0,large_prop,0.432898
72,sprite_072__native_26x66__crop_32x72.png,126,1285,1196,330,1222,396,26,66,32,72,16.0,69.0,tall_prop,0.748834
73,sprite_073__native_159x143__crop_165x149.png,123,7715,714,329,873,472,159,143,165,149,110.0,146.0,large_prop,0.339315
74,sprite_074__native_146x145__crop_152x151.png,121,6665,870,324,1016,469,146,145,152,151,105.0,148.0,large_prop,0.314832
75,sprite_075__native_26x69__crop_32x75.png,151,1483,24,404,50,473,26,69,32,75,15.0,72.0,tall_prop,0.826644
76,sprite_076__native_26x63__crop_32x69.png,162,1357,104,411,130,474,26,63,32,69,16.0,66.0,medium_prop,0.828449
77,sprite_077__native_27x69__crop_33x75.png,152,1507,180,404,207,473,27,69,33,75,16.0,72.0,tall_prop,0.80891
78,sprite_078__native_127x60__crop_133x66.png,155,6678,244,408,371,468,127,60,133,66,104.0,63.0,large_prop,0.876378
79,sprite_079__native_38x63__crop_44x69.png,156,1777,402,408,440,471,38,63,44,69,21.0,66.0,medium_prop,0.742272
80,sprite_080__native_52x66__crop_58x72.png,153,1884,478,404,530,470,52,66,58,72,28.0,69.0,medium_prop,0.548951
81,sprite_081__native_34x70__crop_40x76.png,150,1600,552,399,586,469,34,70,40,76,19.0,73.0,tall_prop,0.672269
82,sprite_082__native_20x59__crop_26x65.png,160,998,596,410,616,469,20,59,26,65,13.0,62.0,medium_prop,0.845763
83,sprite_083__native_76x65__crop_82x71.png,158,3301,628,409,704,474,76,65,82,71,66.0,68.0,medium_prop,0.668219
84,sprite_084__native_43x59__crop_49x65.png,154,1343,888,407,931,466,43,59,49,65,24.0,62.0,medium_prop,0.529365
85,sprite_085__native_47x63__crop_53x69.png,159,1758,1039,409,1086,472,47,63,53,69,8.0,66.0,medium_prop,0.593718
86,sprite_086__native_62x64__crop_68x70.png,161,2240,1108,410,1170,474,62,64,68,70,7.0,67.0,medium_prop,0.564516
87,sprite_087__native_54x152__crop_60x158.png,157,3372,1182,408,1236,560,54,152,60,158,29.0,155.0,tall_prop,0.410819
88,sprite_088__native_65x66__crop_71x72.png,187,3461,10,486,75,552,65,66,71,72,35.0,69.0,medium_prop,0.80676
89,sprite_089__native_75x58__crop_81x64.png,203,4131,99,492,174,550,75,58,81,64,36.0,61.0,medium_prop,0.949655
90,sprite_090__native_60x54__crop_66x60.png,202,3113,195,491,255,545,60,54,66,60,30.0,57.0,medium_prop,0.960802
91,sprite_091__native_70x62__crop_76x68.png,197,4032,277,488,347,550,70,62,76,68,38.0,65.0,medium_prop,0.929032
92,sprite_092__native_63x67__crop_69x73.png,184,4102,372,485,435,552,63,67,69,73,34.0,70.0,medium_prop,0.971808
93,sprite_093__native_67x63__crop_73x69.png,189,3998,453,487,520,550,67,63,73,69,37.0,66.0,medium_prop,0.947169
94,sprite_094__native_69x60__crop_75x66.png,195,3994,540,487,609,547,69,60,75,66,37.0,63.0,medium_prop,0.964734
95,sprite_095__native_64x57__crop_70x63.png,201,3455,636,489,700,546,64,57,70,63,33.0,60.0,medium_prop,0.947094
96,sprite_096__native_75x65__crop_81x71.png,185,4728,720,485,795,550,75,65,81,71,39.0,68.0,medium_prop,0.969846
97,sprite_097__native_75x64__crop_81x70.png,186,4572,804,485,879,549,75,64,81,70,40.0,67.0,medium_prop,0.9525
98,sprite_098__native_45x78__crop_51x84.png,183,2402,886,482,931,560,45,78,51,84,26.0,81.0,tall_prop,0.68433
99,sprite_099__native_27x68__crop_33x74.png,188,1446,969,486,996,554,27,68,33,74,16.0,71.0,tall_prop,0.787582
100,sprite_100__native_50x88__crop_56x94.png,182,2139,1039,477,1089,565,50,88,56,94,26.0,91.0,tall_prop,0.486136
101,sprite_101__native_42x89__crop_48x95.png,181,1814,1121,474,1163,563,42,89,48,95,24.0,92.0,tall_prop,0.485286
102,sprite_102__native_70x57__crop_76x63.png,212,3432,632,563,702,620,70,57,76,63,39.0,60.0,medium_prop,0.86015
103,sprite_103__native_65x60__crop_71x66.png,216,3422,17,566,82,626,65,60,71,66,35.5,63.0,medium_prop,0.877436
104,sprite_104__native_63x60__crop_69x66.png,217,3300,111,566,174,626,63,60,69,66,34.0,63.0,medium_prop,0.873016
105,sprite_105__native_60x59__crop_66x65.png,218,3313,283,566,343,625,60,59,66,65,22.0,62.0,medium_prop,0.935876
106,sprite_106__native_78x58__crop_84x64.png,214,3987,361,565,439,623,78,58,84,64,39.5,61.0,medium_prop,0.8813
107,sprite_107__native_71x57__crop_77x63.png,215,3461,451,565,522,622,71,57,77,63,34.0,60.0,medium_prop,0.855201
108,sprite_108__native_81x62__crop_87x68.png,211,4270,535,563,616,625,81,62,87,68,41.0,65.0,medium_prop,0.850259
109,sprite_109__native_62x60__crop_68x66.png,219,3669,727,566,789,626,62,60,68,66,34.0,63.0,medium_prop,0.98629
110,sprite_110__native_62x59__crop_68x65.png,221,3551,816,567,878,626,62,59,68,65,33.0,62.0,medium_prop,0.970749
111,sprite_111__native_60x57__crop_66x63.png,226,2051,902,575,962,632,60,57,66,63,51.0,60.0,medium_prop,0.599708
112,sprite_112__native_51x61__crop_57x67.png,213,2075,962,564,1013,625,51,61,57,67,38.5,64.0,medium_prop,0.666988
113,sprite_113__native_77x50__crop_83x56.png,227,3704,1024,577,1101,627,77,50,83,56,41.0,53.0,medium_prop,0.962078
114,sprite_114__native_121x51__crop_127x57.png,228,5739,1112,577,1233,628,121,51,127,57,62.0,54.0,large_prop,0.929995
115,sprite_115__native_86x144__crop_92x150.png,209,9402,184,559,270,703,86,144,92,150,35.5,147.0,tall_prop,0.759205
116,sprite_116__native_74x67__crop_80x73.png,242,4098,10,639,84,706,74,67,80,73,18.5,70.0,medium_prop,0.826543
117,sprite_117__native_71x59__crop_77x65.png,248,3623,99,642,170,701,71,59,77,65,34.0,62.0,medium_prop,0.864884
118,sprite_118__native_100x76__crop_106x82.png,241,6309,274,638,374,714,100,76,106,82,27.0,79.0,large_prop,0.830132
119,sprite_119__native_80x62__crop_86x68.png,251,4328,394,644,474,706,80,62,86,68,40.0,65.0,medium_prop,0.872581
120,sprite_120__native_75x64__crop_81x70.png,250,4174,488,642,563,706,75,64,81,70,41.0,67.0,medium_prop,0.869583
121,sprite_121__native_113x49__crop_119x55.png,252,5520,586,644,699,693,113,49,119,55,59.0,52.0,large_prop,0.99693
122,sprite_122__native_72x69__crop_78x75.png,238,4861,723,637,795,706,72,69,78,75,37.0,72.0,medium_prop,0.978462
123,sprite_123__native_70x66__crop_76x72.png,239,4445,805,637,875,703,70,66,76,72,38.0,69.0,medium_prop,0.962121
124,sprite_124__native_50x51__crop_56x57.png,254,2436,886,646,936,697,50,51,56,57,28.0,54.0,small_prop,0.955294
125,sprite_125__native_54x51__crop_60x57.png,253,2656,950,645,1004,696,54,51,60,57,29.0,54.0,small_prop,0.964415
126,sprite_126__native_85x70__crop_91x76.png,240,5741,1021,637,1106,707,85,70,91,76,44.0,73.0,medium_prop,0.964874
127,sprite_127__native_61x68__crop_67x74.png,243,2402,1115,639,1176,707,61,68,67,74,19.0,71.0,medium_prop,0.579074
128,sprite_128__native_59x58__crop_65x64.png,257,3081,1187,649,1246,707,59,58,65,64,31.0,61.0,medium_prop,0.900351
129,sprite_129__native_82x62__crop_88x68.png,281,4406,12,717,94,779,82,62,88,68,39.0,65.0,medium_prop,0.86664
130,sprite_130__native_60x63__crop_66x69.png,282,3733,110,717,170,780,60,63,66,69,28.5,66.0,medium_prop,0.987566
131,sprite_131__native_71x57__crop_77x63.png,287,3997,192,720,263,777,71,57,77,63,33.5,60.0,medium_prop,0.987645
132,sprite_132__native_82x66__crop_88x72.png,284,4813,372,718,454,784,82,66,88,72,42.0,69.0,medium_prop,0.88932
133,sprite_133__native_76x56__crop_82x62.png,285,4157,470,718,546,774,76,56,82,62,42.0,59.0,medium_prop,0.976739
134,sprite_134__native_74x56__crop_80x62.png,286,4016,566,718,640,774,74,56,80,62,40.0,59.0,medium_prop,0.969112
135,sprite_135__native_64x60__crop_70x66.png,274,3674,653,714,717,774,64,60,70,66,34.0,63.0,medium_prop,0.956771
136,sprite_136__native_74x63__crop_80x69.png,275,4285,724,714,798,777,74,63,80,69,40.0,66.0,medium_prop,0.919133
137,sprite_137__native_63x59__crop_69x65.png,278,3694,812,716,875,775,63,59,69,65,33.0,62.0,medium_prop,0.993812
138,sprite_138__native_58x60__crop_64x66.png,277,3420,892,715,950,775,58,60,64,66,31.0,63.0,medium_prop,0.982759
139,sprite_139__native_63x69__crop_69x75.png,273,3978,966,713,1029,782,63,69,69,75,26.0,72.0,medium_prop,0.915114
140,sprite_140__native_50x65__crop_56x71.png,279,2976,1049,716,1099,781,50,65,56,71,27.0,68.0,medium_prop,0.915692
141,sprite_141__native_36x81__crop_42x87.png,270,2469,1125,708,1161,789,36,81,42,87,20.0,84.0,tall_prop,0.846708
142,sprite_142__native_30x72__crop_36x78.png,280,1884,1195,716,1225,788,30,72,36,78,16.0,75.0,tall_prop,0.872222
143,sprite_143__native_67x58__crop_73x64.png,289,3683,284,724,351,782,67,58,73,64,32.0,61.0,medium_prop,0.947761
144,sprite_144__native_67x67__crop_73x73.png,311,4331,11,795,78,862,67,67,73,73,35.0,70.0,medium_prop,0.964803
145,sprite_145__native_63x52__crop_69x58.png,318,3218,99,802,162,854,63,52,69,58,34.0,55.0,medium_prop,0.982295
146,sprite_146__native_73x65__crop_79x71.png,316,4608,187,797,260,862,73,65,79,71,39.5,68.0,medium_prop,0.971128
147,sprite_147__native_70x60__crop_76x66.png,317,4078,283,799,353,859,70,60,76,66,37.0,63.0,medium_prop,0.970952
148,sprite_148__native_57x76__crop_63x82.png,308,4220,385,792,442,868,57,76,63,82,31.0,79.0,medium_prop,0.974146
149,sprite_149__native_84x79__crop_90x85.png,306,5510,462,789,546,868,84,79,90,85,16.0,82.0,medium_prop,0.830319
150,sprite_150__native_84x73__crop_90x79.png,312,5793,572,795,656,868,84,73,90,79,43.0,76.0,medium_prop,0.944716
151,sprite_151__native_86x66__crop_92x72.png,314,5512,686,796,772,862,86,66,92,72,42.0,69.0,medium_prop,0.971106
152,sprite_152__native_82x77__crop_88x83.png,307,6040,789,791,871,868,82,77,88,83,43.0,80.0,medium_prop,0.956604
153,sprite_153__native_58x76__crop_64x82.png,309,4222,889,794,947,870,58,76,64,82,32.0,79.0,medium_prop,0.957804
154,sprite_154__native_76x72__crop_82x78.png,310,4133,967,794,1043,866,76,72,82,78,40.0,75.0,medium_prop,0.7553
155,sprite_155__native_73x76__crop_79x82.png,313,4292,1055,795,1128,871,73,76,79,82,39.0,79.0,medium_prop,0.773612
156,sprite_156__native_84x72__crop_90x78.png,315,5814,1157,796,1241,868,84,72,90,78,44.5,75.0,medium_prop,0.96131
157,sprite_157__native_76x79__crop_82x85.png,322,4912,107,870,183,949,76,79,82,85,38.0,82.0,medium_prop,0.818121
158,sprite_158__native_69x76__crop_75x82.png,320,3813,308,868,377,944,69,76,75,82,37.0,79.0,medium_prop,0.727117
159,sprite_159__native_79x75__crop_85x81.png,323,5216,511,873,590,948,79,75,85,81,40.0,78.0,medium_prop,0.880338
160,sprite_160__native_76x80__crop_82x86.png,321,4771,632,868,708,948,76,80,82,86,41.0,83.0,medium_prop,0.784704
161,sprite_161__native_84x75__crop_90x81.png,324,5174,823,873,907,948,84,75,90,81,44.0,78.0,medium_prop,0.82127
162,sprite_162__native_86x75__crop_92x81.png,325,5482,923,873,1009,948,86,75,92,81,44.0,78.0,medium_prop,0.849922
163,sprite_163__native_65x69__crop_71x75.png,327,3390,1024,877,1089,946,65,69,71,75,50.0,72.0,medium_prop,0.755853
164,sprite_164__native_83x69__crop_89x75.png,329,4513,10,879,93,948,83,69,89,75,43.5,72.0,medium_prop,0.788022
165,sprite_165__native_76x70__crop_82x76.png,328,4809,212,878,288,948,76,70,82,76,41.0,73.0,medium_prop,0.903947
166,sprite_166__native_62x67__crop_68x73.png,331,4062,402,881,464,948,62,67,68,73,35.0,70.0,medium_prop,0.977853
167,sprite_167__native_77x72__crop_83x78.png,326,4441,729,877,806,949,77,72,83,78,42.0,75.0,medium_prop,0.801046
168,sprite_168__native_132x65__crop_138x71.png,332,7636,1107,884,1239,949,132,65,138,71,57.0,68.0,large_prop,0.889977
169,sprite_169__native_65x82__crop_71x88.png,350,3879,11,955,76,1037,65,82,71,88,34.0,85.0,medium_prop,0.727767
170,sprite_170__native_81x77__crop_87x83.png,352,4084,92,956,173,1033,81,77,87,83,42.0,80.0,medium_prop,0.654802
171,sprite_171__native_66x72__crop_72x78.png,354,3137,197,957,263,1029,66,72,72,78,40.5,75.0,medium_prop,0.660143
172,sprite_172__native_87x76__crop_93x82.png,343,5682,288,950,375,1026,87,76,93,82,48.0,79.0,medium_prop,0.859347
173,sprite_173__native_80x67__crop_86x73.png,355,4811,391,957,471,1024,80,67,86,73,40.0,70.0,medium_prop,0.897575
174,sprite_174__native_37x72__crop_43x78.png,347,2242,492,954,529,1026,37,72,43,78,15.0,75.0,tall_prop,0.841592
175,sprite_175__native_77x62__crop_83x68.png,359,4429,547,966,624,1028,77,62,83,68,37.5,65.0,medium_prop,0.927734
176,sprite_176__native_79x78__crop_85x84.png,353,4162,639,956,718,1034,79,78,85,84,23.0,81.0,medium_prop,0.67543
177,sprite_177__native_94x82__crop_100x88.png,342,5509,725,949,819,1031,94,82,100,88,34.0,85.0,medium_prop,0.714712
178,sprite_178__native_111x80__crop_117x86.png,356,4900,830,958,941,1038,111,80,117,86,13.0,83.0,large_prop,0.551802
179,sprite_179__native_61x61__crop_67x67.png,357,2271,942,963,1003,1024,61,61,67,67,44.0,64.0,medium_prop,0.61032
180,sprite_180__native_69x71__crop_75x77.png,358,3523,1021,964,1090,1035,69,71,75,77,36.0,74.0,medium_prop,0.719126
181,sprite_181__native_59x59__crop_65x65.png,348,2206,1104,954,1163,1013,59,59,65,65,18.0,62.0,medium_prop,0.633726
182,sprite_182__native_19x20__crop_25x26.png,365,279,1107,1018,1126,1038,19,20,25,26,12.0,23.0,tile_scale,0.734211
183,sprite_183__native_108x75__crop_114x81.png,360,4885,1137,972,1245,1047,108,75,114,81,76.0,78.0,large_prop,0.603086
184,sprite_184__native_12x11__crop_18x17.png,370,100,1162,1034,1174,1045,12,11,18,17,9.0,14.0,tile_scale,0.757576
185,sprite_185__native_69x70__crop_75x76.png,375,3848,421,1037,490,1107,69,70,75,76,36.0,73.0,medium_prop,0.796687
186,sprite_186__native_77x68__crop_83x74.png,383,4894,11,1044,88,1112,77,68,83,74,35.0,71.0,medium_prop,0.934683
187,sprite_187__native_70x62__crop_76x68.png,381,3769,103,1043,173,1105,70,62,76,68,30.0,65.0,medium_prop,0.868433
188,sprite_188__native_56x68__crop_62x74.png,378,3581,188,1039,244,1107,56,68,62,74,27.0,71.0,medium_prop,0.940389
189,sprite_189__native_66x65__crop_72x71.png,379,4135,260,1040,326,1105,66,65,72,71,31.0,68.0,medium_prop,0.963869
190,sprite_190__native_74x62__crop_80x68.png,385,4097,501,1045,575,1107,74,62,80,68,35.0,65.0,medium_prop,0.892982
191,sprite_191__native_59x63__crop_65x69.png,386,3359,591,1046,650,1109,59,63,65,69,27.0,66.0,medium_prop,0.903686
192,sprite_192__native_38x66__crop_44x72.png,382,2261,669,1043,707,1109,38,66,44,72,21.0,69.0,tall_prop,0.901515
193,sprite_193__native_59x62__crop_65x68.png,389,3070,728,1047,787,1109,59,62,65,68,24.5,65.0,medium_prop,0.839256
194,sprite_194__native_33x54__crop_39x60.png,391,1570,806,1054,839,1108,33,54,39,60,20.0,57.0,small_prop,0.881033
195,sprite_195__native_35x66__crop_41x72.png,384,1989,855,1044,890,1110,35,66,41,72,23.0,69.0,tall_prop,0.861039
196,sprite_196__native_24x57__crop_30x63.png,390,1241,909,1050,933,1107,24,57,30,63,14.0,60.0,medium_prop,0.907164
197,sprite_197__native_28x71__crop_34x77.png,376,1605,950,1037,978,1108,28,71,34,77,17.0,74.0,tall_prop,0.807344
198,sprite_198__native_83x64__crop_89x70.png,388,3436,992,1046,1075,1110,83,64,89,70,44.0,67.0,medium_prop,0.646837
199,sprite_199__native_87x61__crop_93x67.png,392,3354,1063,1057,1150,1118,87,61,93,67,24.0,64.0,medium_prop,0.631995
200,sprite_200__native_77x61__crop_83x67.png,393,3346,1166,1057,1243,1118,77,61,83,67,32.0,64.0,medium_prop,0.71237
201,sprite_201__native_95x137__crop_101x143.png,374,7855,313,1037,408,1174,95,137,101,143,68.0,140.0,tall_prop,0.603534
202,sprite_202__native_88x57__crop_94x63.png,413,4596,11,1118,99,1175,88,57,94,63,38.5,60.0,medium_prop,0.916268
203,sprite_203__native_49x52__crop_55x58.png,420,2044,244,1122,293,1174,49,52,55,58,25.0,55.0,small_prop,0.802198
204,sprite_204__native_106x56__crop_112x62.png,415,4874,442,1119,548,1175,106,56,112,62,52.0,59.0,large_prop,0.821092
205,sprite_205__native_29x31__crop_35x37.png,428,632,561,1130,590,1161,29,31,35,37,21.5,34.0,tile_scale,0.703003
206,sprite_206__native_95x66__crop_101x72.png,422,3243,567,1126,662,1192,95,66,101,72,24.0,69.0,medium_prop,0.517225
207,sprite_207__native_78x57__crop_84x63.png,423,3365,703,1126,781,1183,78,57,84,63,16.0,60.0,medium_prop,0.75686
208,sprite_208__native_50x51__crop_56x57.png,418,1500,800,1121,850,1172,50,51,56,57,13.0,54.0,small_prop,0.588235
209,sprite_209__native_50x62__crop_56x68.png,419,1875,858,1121,908,1183,50,62,56,68,25.5,65.0,medium_prop,0.604839
210,sprite_210__native_91x74__crop_97x80.png,409,3974,930,1109,1021,1183,91,74,97,80,38.0,77.0,medium_prop,0.59014
211,sprite_211__native_95x82__crop_101x88.png,425,5455,1039,1127,1134,1209,95,82,101,88,47.0,85.0,medium_prop,0.700257
212,sprite_212__native_93x123__crop_99x129.png,412,8873,125,1117,218,1240,93,123,99,129,43.0,126.0,large_prop,0.77568
213,sprite_213__native_83x80__crop_89x86.png,430,4559,1153,1132,1236,1212,83,80,89,86,66.0,83.0,medium_prop,0.686596
214,sprite_214__native_41x60__crop_47x66.png,446,2013,14,1179,55,1239,41,60,47,66,15.5,63.0,medium_prop,0.818293
215,sprite_215__native_46x61__crop_52x67.png,447,2011,65,1180,111,1241,46,61,52,67,28.0,64.0,medium_prop,0.716679
216,sprite_216__native_139x73__crop_145x79.png,441,6896,227,1173,366,1246,139,73,145,79,97.0,76.0,large_prop,0.67961
217,sprite_217__native_97x55__crop_103x61.png,455,3115,402,1188,499,1243,97,55,103,61,72.5,58.0,large_prop,0.58388
